,mae,coverage,count
1,3.365325002174119,84.31372549019608,51
3,3.7494937025459887,82.35294117647058,51
7,4.8153082957856475,71.42857142857143,49
14,4.533816981484315,76.47058823529412,51
21,4.806790336937605,71.42857142857143,49
30,3.2927934288134737,80.3921568627451,51
